[ 2025-11-29 21:58:23,333 ] 164 numexpr.utils - INFO - NumExpr defaulting to 10 threads.
[ 2025-11-29 21:58:25,510 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-29 21:58:25,512 ] 107 dagshub - INFO - Accessing as shagantikoushik
[ 2025-11-29 21:58:25,731 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/shagantikoushik/datascience-cybersecurity "HTTP/1.1 200 OK"
[ 2025-11-29 21:58:25,898 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-29 21:58:25,899 ] 107 dagshub - INFO - Initialized MLflow to track repo "shagantikoushik/datascience-cybersecurity"
[ 2025-11-29 21:58:25,900 ] 107 dagshub - INFO - Repository shagantikoushik/datascience-cybersecurity initialized!
[ 2025-11-29 21:58:47,747 ] 42 root - INFO - Start data Ingestion
[ 2025-11-29 21:58:52,433 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-29 21:58:52,433 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-29 21:58:52,433 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-29 21:58:52,465 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-29 21:58:52,465 ] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts/11_29_2025_21_58_23/data_ingestion/ingested/train.csv', test_file_path='Artifacts/11_29_2025_21_58_23/data_ingestion/ingested/test.csv')
[ 2025-11-29 21:58:52,468 ] 55 root - INFO - Initiate the data Validation
[ 2025-11-29 21:58:52,477 ] 32 root - INFO - Required number of columns:2
[ 2025-11-29 21:58:52,477 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-29 21:58:52,477 ] 32 root - INFO - Required number of columns:2
[ 2025-11-29 21:58:52,477 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-29 21:58:52,568 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-29 21:58:52,568 ] 65 root - INFO - Starting data transformation
[ 2025-11-29 21:58:52,577 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-29 21:58:52,578 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-29 21:58:52,582 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 21:58:52,582 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 21:58:52,582 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 21:58:52,583 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 22:00:06,619 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 22:00:06,619 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 22:00:06,619 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 22:00:06,627 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 22:00:06,627 ] 168 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/11_29_2025_21_58_23/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909402053553453, precision_score=0.9867682437850842, recall_score=0.9951475940153659), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9739625711960944, precision_score=0.9599037690457097, recall_score=0.9884393063583815))
