[ 2025-11-29 21:45:57,914 ] 164 numexpr.utils - INFO - NumExpr defaulting to 10 threads.
[ 2025-11-29 21:46:00,194 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-29 21:46:00,199 ] 107 dagshub - INFO - Accessing as shagantikoushik
[ 2025-11-29 21:46:00,435 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/shagantikoushik/datascience-cybersecurity "HTTP/1.1 200 OK"
[ 2025-11-29 21:46:00,625 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-29 21:46:00,629 ] 107 dagshub - INFO - Initialized MLflow to track repo "shagantikoushik/datascience-cybersecurity"
[ 2025-11-29 21:46:00,629 ] 107 dagshub - INFO - Repository shagantikoushik/datascience-cybersecurity initialized!
[ 2025-11-29 21:46:00,630 ] 20 root - INFO - Initiate the data ingestion
[ 2025-11-29 21:46:02,342 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-29 21:46:02,342 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-29 21:46:02,342 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-29 21:46:02,380 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-29 21:46:02,380 ] 22 root - INFO - Data Initiation Completed
[ 2025-11-29 21:46:02,382 ] 26 root - INFO - Initiate the data Validation
[ 2025-11-29 21:46:02,393 ] 32 root - INFO - Required number of columns:2
[ 2025-11-29 21:46:02,393 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-29 21:46:02,393 ] 32 root - INFO - Required number of columns:2
[ 2025-11-29 21:46:02,393 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-29 21:46:02,477 ] 28 root - INFO - data Validation Completed
[ 2025-11-29 21:46:02,477 ] 31 root - INFO - data Transformation started
[ 2025-11-29 21:46:02,477 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-29 21:46:02,477 ] 65 root - INFO - Starting data transformation
[ 2025-11-29 21:46:02,488 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-29 21:46:02,488 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-29 21:46:02,492 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 21:46:02,493 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 21:46:02,493 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 21:46:02,495 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 21:46:02,495 ] 35 root - INFO - data Transformation completed
[ 2025-11-29 21:46:02,495 ] 37 root - INFO - Model Training sstared
[ 2025-11-29 21:47:17,992 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 21:47:17,992 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 21:47:17,992 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-29 21:47:18,025 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-29 21:47:18,025 ] 168 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/11_29_2025_21_45_58/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913906613997772, precision_score=0.9898867313915858, recall_score=0.9928991681882735), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9738640932850824, precision_score=0.9618745035742653, recall_score=0.9861563517915309))
[ 2025-11-29 21:47:18,029 ] 42 root - INFO - Model Training artifact created
